nombre;year;cantidad;diff
ABIDAN ;2012;1;0,0
ABIE ;2011;1;0,0
ABIE ;2013;1;0,0
ABIE ;2014;2;1,0
ABIE ;2015;3;1,0
ABIE ;2016;1;-2,0
ABIEL ;2010;3;2,0
ABIEL ;2011;13;10,0
ABIEL ;2012;7;-6,0
ABIEL ;2013;9;2,0
ABIEL ;2014;4;-5,0
ABIEL ;2015;7;3,0
ABIEL ;2016;7;0,0
ABIEL ;2017;11;4,0
ABIEL ;2018;5;-6,0
ABIEL ;2019;3;-2,0
ABIEL ;2020;1;-2,0
ABIEL ;2021;7;6,0
ABIER ;2017;1;-6,0
ABIER ;2018;1;0,0
ABIERLYS ;2019;1;0,0
ABIEZER ;2017;1;0,0
ABIGAEL ;2016;2;1,0
ABIGAEL ;2017;2;0,0
ABIGAEL ;2018;5;3,0
ABIGAEL ;2019;7;2,0
ABIGAEL ;2020;10;3,0
ABIGAEL ;2021;7;-3,0
ABIGAELA ;2018;2;-5,0
ABIGAELA ;2019;1;-1,0
ABIGAELA ;2020;2;1,0
ABIGAELA ;2021;1;-1,0
ABIGAELLA ;2017;1;0,0
ABIGAELLA ;2019;1;0,0
ABIGAELLA ;2020;2;1,0
ABIGAELLE ;2016;2;0,0
ABIGAELLE ;2017;4;2,0
ABIGAELLE ;2018;7;3,0
ABIGAELLE ;2019;14;7,0
ABIGAELLE ;2020;11;-3,0
ABIGAELLE ;2021;10;-1,0
ABIGAELLENE ;2021;1;-9,0
ABIGAHEL ;2020;1;0,0
ABIGAHIL ;2010;1;0,0
ABIGAHIL ;2011;1;0,0
ABIGAHIL ;2014;2;1,0
ABIGAHIL ;2015;1;-1,0
ABIGAHIL ;2016;1;0,0
ABIGAHIL ;2017;3;2,0
ABIGAHIL ;2019;2;-1,0
ABIGAHIL ;2020;1;-1,0
ABIGAI ;2014;1;0,0
ABIGAIEL ;2018;1;0,0
ABIGAIEL ;2019;1;0,0
ABIGAIL ;2010;144;143,0
ABIGAIL ;2011;161;17,0
ABIGAIL ;2012;144;-17,0
ABIGAIL ;2013;187;43,0
ABIGAIL ;2014;223;36,0
ABIGAIL ;2015;228;5,0
ABIGAIL ;2016;276;48,0
ABIGAIL ;2017;294;18,0
ABIGAIL ;2018;318;24,0
ABIGAIL ;2019;278;-40,0
ABIGAIL ;2020;289;11,0
ABIGAIL ;2021;257;-32,0
ABIGAIL-SOFONIE ;2011;1;-256,0
ABIGAILA ;2018;2;1,0
ABIGAILD ;2015;1;-1,0
ABIGAILD ;2019;1;0,0
ABIGAILE ;2016;1;0,0
ABIGAILLE ;2015;1;0,0
ABIGAILLE ;2017;1;0,0
ABIGAILLE ;2018;2;1,0
ABIGAIN ;2019;1;-1,0
ABIGAREL ;2018;1;0,0
ABIGAYEL ;2021;1;0,0
ABIGAYL ;2010;1;0,0
ABIGAYL ;2012;1;0,0
ABIGAYL ;2018;1;0,0
ABIGAYL ;2019;1;0,0
ABIGAYL ;2020;1;0,0
ABIGAYÈEL ;2019;1;0,0
ABIGAÉL ;2021;1;0,0
ABIGAÉLLE ;2021;1;0,0
ABIGAËL ;2017;2;1,0
ABIGAËL ;2018;4;2,0
ABIGAËL ;2019;1;-3,0
ABIGAËL ;2020;1;0,0
ABIGAËLA ;2021;1;0,0
ABIGAËLLA ;2021;1;0,0
ABIGAËLLE ;2016;1;0,0
ABIGAËLLE ;2017;1;0,0
ABIGAËLLE ;2018;5;4,0
ABIGAËLLE ;2019;2;-3,0
ABIGAËLLE ;2020;2;0,0
ABIGAËLLE ;2021;3;1,0
ABIGAËLLE-VIO ;2018;1;-2,0
ABIGAÍEL ;2019;1;0,0
ABIGAÏLL ;2019;1;0,0
ABIGAÏLLE ;2020;1;0,0
ABIGEIL ;2017;1;0,0
ABIHA ;2014;1;0,0
ABIHA ;2017;1;0,0
ABIHA ;2021;1;0,0
ABIHAIL ;2010;1;0,0
ABIHAIL ;2013;1;0,0
ABIHAIL ;2019;1;0,0
ABIHAIL ;2020;1;0,0
ABIJAELA ;2019;1;0,0
ABILENE ;2017;1;0,0
ABILETH ;2015;1;0,0
ABILIO ;2021;1;0,0
ABILIS ;2013;1;0,0
ABILYN ;2018;1;0,0
ABIMADER ;2020;1;0,0
ABIMAEL ;2010;4;3,0
ABIMAEL ;2011;2;-2,0
ABIMAEL ;2012;2;0,0
ABIMAEL ;2014;2;0,0
ABIMAEL ;2015;3;1,0
ABIMAEL ;2016;1;-2,0
ABIMAEL ;2017;2;1,0
ABIMAEL ;2018;5;3,0
ABIMAEL ;2019;3;-2,0
ABIMAEL ;2020;4;1,0
ABIMAEL ;2021;7;3,0
ABIMAELLE ;2016;1;-6,0
ABIMALEC ;2014;1;0,0
ABIMAÉL ;2021;1;0,0
ABIMAËL ;2016;1;0,0
ABIMAËL ;2020;2;1,0
ABIMAËL ;2021;1;-1,0
ABIMELEC ;2012;1;0,0
ABIMELEC ;2019;1;0,0
ABIMMAEL ;2017;1;0,0
ABINAEL ;2018;1;0,0
ABINAELCA ;2018;1;0,0
ABINEY ;2020;1;0,0
ABIR ;2014;1;0,0
ABIRAM ;2014;1;0,0
ABIRMAËL ;2018;1;0,0
ABISADAY ;2019;1;0,0
ABISAG ;2010;1;0,0
ABISAG ;2011;1;0,0
ABISAG ;2012;3;2,0
ABISAG ;2013;1;-2,0
