nombre;year;cantidad_x;diff;cantidad_y;pct_yoy;_merge
ACXEL ;2020;1;0,0;;;left_only
ACXEL ;2021;1;0,0;;;left_only
ADA ;2011;11;-2,0;;;left_only
ADA ;2012;5;-6,0;;;left_only
ADA ;2013;9;4,0;;;left_only
ADA ;2014;4;-5,0;;;left_only
ADA ;2015;7;3,0;;;left_only
ADA ;2016;11;4,0;;;left_only
ADA ;2017;15;4,0;;;left_only
ADA ;2018;10;-5,0;;;left_only
ADA ;2019;8;-2,0;;;left_only
ADA ;2020;14;6,0;;;left_only
ADA ;2021;8;-6,0;;;left_only
ADABEL ;2012;1;0,0;;;left_only
ADABELLA ;2014;1;0,0;;;left_only
ADABELLA ;2019;1;0,0;;;left_only
ADAEL ;2011;1;-2,0;;;left_only
ADAEL ;2012;3;2,0;;;left_only
ADAEL ;2013;4;1,0;;;left_only
ADAEL ;2014;3;-1,0;;;left_only
ADAEL ;2015;1;-2,0;;;left_only
ADAEL ;2016;2;1,0;;;left_only
ADAEL ;2017;1;-1,0;;;left_only
ADAEL ;2018;4;3,0;;;left_only
ADAEL ;2020;2;-2,0;;;left_only
ADAEL ;2021;1;-1,0;;;left_only
ADAHARA ;2020;1;0,0;;;left_only
ADAHIA ;2018;1;-1,0;;;left_only
ADAHIA ;2021;1;0,0;;;left_only
ADAHIR ;2017;1;0,0;;;left_only
ADAHIR ;2019;1;0,0;;;left_only
ADAHIR ;2021;1;0,0;;;left_only
ADAIA ;2012;1;-2,0;;;left_only
ADAIA ;2014;2;1,0;;;left_only
ADAIA ;2015;5;3,0;;;left_only
ADAIA ;2016;2;-3,0;;;left_only
ADAIA ;2017;5;3,0;;;left_only
ADAIA ;2020;3;-2,0;;;left_only
ADAIA ;2021;2;-1,0;;;left_only
ADAIAH ;2016;1;0,0;;;left_only
ADAIAH ;2017;1;0,0;;;left_only
ADAIAH ;2018;1;0,0;;;left_only
ADAIAH ;2019;1;0,0;;;left_only
ADAIAH ;2021;1;0,0;;;left_only
ADAILY ;2013;1;0,0;;;left_only
